City_ID,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
436,88,PG,1619619534,81,-3.6667,152.4333,79.56,5.61
437,91,RU,1619619534,93,66.7697,123.3711,19.81,1.59
438,1,US,1619619535,76,34.4133,-119.861,57.99,4.61
439,1,US,1619619535,93,33.8583,-118.0648,55.99,1.68
440,2,MX,1619619536,70,27.9769,-114.0611,57.51,15.41
441,100,GH,1619619536,70,5.2618,-0.759,85.93,13.38
442,8,CA,1619619537,38,68.3499,-133.7218,21.2,6.91
443,76,NZ,1619619537,83,-44.7,169.15,44.08,3.71
444,0,NaN,0000000000,0,0.0,0.0,0.0,0.0
445,0,CL,1619619303,47,-33.4569,-70.6483,59.0,2.3
446,6,NZ,1619619539,93,-43.5333,172.6333,35.6,2.3
447,75,BR,1619619540,94,-7.4706,-34.8086,78.8,6.91
448,67,CA,1619619540,57,49.6835,-83.6665,48.2,3.44
449,100,ID,1619619541,72,-7.95,110.2833,78.26,4.56
450,22,RU,1619619541,94,59.6289,112.7406,13.95,3.85
451,73,IN,1619619542,24,25.35,72.6167,90.05,18.79
452,75,RU,1619619543,57,55.5991,37.355,48.99,11.18
453,40,GB,1619619403,54,52.1346,-0.4663,54.0,17.27
454,8,AU,1619619544,69,-14.4667,132.2667,80.6,4.61
455,50,UA,1619619544,65,44.8215,33.6045,56.95,4.59
456,17,TZ,1619619545,74,-3.2397,35.4875,61.93,7.43
457,40,ID,1619619545,94,3.761,98.4513,78.8,2.3
458,12,IR,1619619546,29,26.5579,54.8807,95.0,6.91
459,40,BR,1619619546,62,-2.7619,-42.2744,89.6,13.8
460,75,PL,1619619547,56,54.0359,19.0266,55.99,9.35
461,1,US,1619619547,88,36.4615,-77.6542,72.0,12.66
462,0,BE,1619619548,34,50.2667,5.45,66.99,6.91
463,75,FI,1619619548,75,64.2273,27.7285,35.6,13.8
464,44,MZ,1619619549,87,-13.1256,38.9997,75.81,5.12
465,0,RO,1619619550,58,46.0,23.4667,59.0,13.8
466,0,KZ,1619619550,47,50.2797,57.2072,55.4,4.47
467,100,RU,1619619551,83,65.441,52.1498,33.82,6.17
468,1,US,1619619551,53,28.4058,-80.6048,78.8,11.5
469,100,NO,1619619552,68,70.8578,29.0864,28.38,12.55
470,63,UA,1619619553,42,49.1541,23.0297,60.01,4.0
471,1,US,1619619553,93,43.4065,-124.2243,45.0,2.57
472,100,CA,1619619554,74,51.5001,-107.0513,32.0,10.36
473,81,RU,1619619554,62,48.5362,42.5014,49.19,8.59
474,0,NaN,0000000000,0,0.0,0.0,0.0,0.0
475,70,CN,1619619555,31,34.6425,109.5843,62.04,6.46
476,29,NG,1619619556,10,13.0609,5.239,107.82,12.21
477,75,US,1619619556,61,34.8014,-106.5436,44.01,1.72
478,40,GB,1619619386,40,55.4627,-4.6339,54.0,8.05
479,40,BJ,1619619260,66,6.4965,2.6036,87.8,11.5
480,16,MM,1619619558,73,16.7833,94.7333,81.34,5.59
481,0,AR,1619619558,68,-34.6515,-59.4307,69.01,1.99
482,100,RU,1619619559,85,49.2361,135.1742,44.74,11.77
483,40,NI,1619619560,94,12.3429,-83.6712,78.8,4.61
484,75,AO,1619619560,48,-9.6608,20.3916,87.8,3.8
485,0,NaN,0000000000,0,0.0,0.0,0.0,0.0
486,5,MX,1619619561,70,30.7,-112.0833,57.0,3.0
487,75,ES,1619619562,73,27.9054,-15.4461,69.8,3.44
488,100,RU,1619619562,45,58.1286,68.5944,52.7,7.65
489,8,MG,1619619563,51,-25.1667,45.05,82.47,11.41
490,0,NaN,0000000000,0,0.0,0.0,0.0,0.0
491,6,MG,1619619564,83,-14.2667,50.1667,79.12,12.3
492,99,TH,1619619565,68,12.3847,99.9098,84.99,3.24
493,99,CN,1619619565,9,40.2833,97.2,64.87,27.11
494,0,NaN,0000000000,0,0.0,0.0,0.0,0.0
495,74,AO,1619619566,25,-14.6585,17.691,85.33,6.17
496,0,SE,1619619567,27,59.9511,12.1996,48.2,3.44
497,64,IR,1619619567,18,29.6195,51.6541,86.0,17.05
498,88,SS,1619619568,39,4.5721,28.3955,89.78,6.78
499,100,RU,1619619569,81,53.6942,88.0603,54.41,9.98
500,88,SO,1619619569,38,4.1213,43.8894,90.19,12.97
501,100,TZ,1619619570,77,-5.1092,31.0419,74.61,1.14
502,100,GL,1619619570,88,61.994,-49.6678,34.97,16.46
503,75,MU,1619619571,94,-20.4081,57.7,75.2,12.66
504,100,RU,1619619572,99,65.7,82.4667,32.32,4.36
505,58,TZ,1619619572,82,-7.9139,39.6668,80.47,13.85
506,0,NaN,0000000000,0,0.0,0.0,0.0,0.0
507,100,CD,1619619573,88,3.3333,20.8833,75.29,2.64
508,4,BR,1619619471,73,-23.7781,-45.3581,74.26,3.83
509,1,US,1619619574,39,38.8876,-76.5119,80.6,10.67
510,13,CL,1619619575,57,-35.3333,-72.4167,63.0,2.46
511,0,CL,1619619575,82,-29.9533,-71.3436,57.2,6.91
512,100,GA,1619619576,69,-2.65,10.0,84.92,8.7
513,49,FI,1619619576,56,64.0833,24.55,36.0,8.99
514,90,AU,1619619577,83,-15.7667,128.7333,80.6,10.47
515,75,RU,1619619577,66,57.7708,40.9344,46.4,8.95
516,39,BR,1619619578,65,-2.8856,-40.12,85.77,10.78
517,100,AU,1619619579,80,-32.2667,150.9,51.01,1.07
518,38,NA,1619619579,20,-22.45,18.9667,82.63,8.68
519,100,CN,1619619580,51,32.1272,115.0394,61.36,7.65
520,64,IN,1619619580,70,11.6667,92.75,83.55,1.45
521,39,NA,1619619581,78,-28.55,16.4333,64.54,15.39
522,100,PG,1619619582,84,-2.6741,141.3028,78.49,4.59
523,98,CN,1619619582,20,38.4953,102.1739,60.04,19.71
524,75,BO,1619619583,63,-18.05,-63.4333,66.2,10.36
525,100,RU,1619619583,97,51.5,95.6,40.5,1.1
526,17,BR,1619619584,52,-17.7125,-39.2481,84.6,5.17
527,82,PH,1619619584,74,18.4726,120.5763,79.23,7.94
528,100,CN,1619619585,82,27.6881,111.4294,62.26,1.99
529,16,BR,1619619586,66,-6.6017,-44.0767,84.52,6.46
530,0,IN,1619619586,25,25.5198,90.2201,81.59,4.0
531,100,CN,1619619587,96,28.4604,119.9103,60.42,2.51
532,99,PT,1619619587,71,42.0304,-8.1588,57.99,5.01
533,0,NaN,0000000000,0,0.0,0.0,0.0,0.0
534,1,US,1619619315,73,30.5188,-87.2728,73.99,11.5
535,75,CL,1619619589,71,-45.5752,-72.0662,50.0,3.44
536,93,BR,1619619589,63,3.0833,-59.95,83.95,3.85
537,99,RU,1619619590,95,66.0833,76.6333,31.37,11.88
538,88,RU,1619619590,98,62.6683,131.1683,15.31,3.56
539,100,IR,1619619591,28,37.106,58.5095,73.67,9.01
540,100,PA,1619619592,68,7.5333,-80.0333,81.19,13.15
541,0,NaN,0000000000,0,0.0,0.0,0.0,0.0
542,0,CN,1619619592,39,50.2441,127.4902,42.8,6.71
543,0,NE,1619619593,5,18.7369,7.3853,107.67,5.26
544,0,NaN,0000000000,0,0.0,0.0,0.0,0.0
545,0,NaN,0000000000,0,0.0,0.0,0.0,0.0
546,96,RU,1619619594,43,53.4435,41.8107,50.23,10.45
